,b,y,x,r
1608,0.1530588235294118,15,48,0.599548709916188
1609,0.1115686274509804,15,49,0.5986798882260281
1610,0.08019607843137255,15,50,0.598058528548255
1611,0.16054901960784318,15,51,0.5976854026752607
1612,0.156156862745098,15,52,0.5975609756097561
1613,0.1468627450980392,15,53,0.5976854026752607
1614,0.14541176470588235,15,54,0.598058528548255
1615,0.14823529411764702,15,55,0.5986798882260281
1616,0.1289019607843137,15,56,0.599548709916188
1706,0.11349019607843136,16,42,0.5979341791283542
1707,0.1115686274509804,16,43,0.5955666071743795
1708,0.14184313725490194,16,44,0.5934402468583628
1709,0.0987058823529412,16,45,0.5915576992992636
1710,0.08968627450980393,16,46,0.5899212986559914
1711,0.1053725490196078,16,47,0.5885330981470075
1712,0.11384313725490192,16,48,0.5873948575020632
1713,0.1115686274509804,16,49,0.5865080320200512
1714,0.15862745098039222,16,50,0.585873763388503
1715,0.14094117647058824,16,51,0.5854928723979417
1716,0.11858823529411766,16,52,0.5853658536585366
1717,0.09533333333333327,16,53,0.5854928723979417
1718,0.11713725490196081,16,54,0.585873763388503
1719,0.12725490196078426,16,55,0.5865080320200512
1720,0.10654901960784313,16,56,0.5873948575020632
1721,0.0945098039215686,16,57,0.5885330981470075
1722,0.07125490196078432,16,58,0.5899212986559914
1723,0.10145098039215683,16,59,0.5915576992992636
1724,0.1601960784313725,16,60,0.5934402468583628
1725,0.16411764705882348,16,61,0.5955666071743795
1726,0.15627450980392155,16,62,0.5979341791283542
1806,0.1082745098039215,17,38,0.598058528548255
1807,0.1586274509803921,17,39,0.59469196781642
1808,0.17231372549019608,17,40,0.5915576992992636
1809,0.14294117647058824,17,41,0.5886594334705937
1810,0.13901960784313727,17,42,0.5860006720358031
1811,0.09086274509803927,17,43,0.5835846884880682
1812,0.09286274509803927,17,44,0.5814145093200106
1813,0.06933333333333336,17,45,0.5794928961227669
1814,0.11831372549019603,17,46,0.5778223288040065
1815,0.0936078431372549,17,47,0.5764049901510475
1816,0.11611764705882355,17,48,0.575242751954671
1817,0.14631372549019606,17,49,0.5743371628934935
1818,0.1306274509803922,17,50,0.5736894383580037
1819,0.11686274509803918,17,51,0.573300452367959
1820,0.13254901960784315,17,52,0.573170731707317
1821,0.13454901960784316,17,53,0.573300452367959
1822,0.13117647058823523,17,54,0.5736894383580037
1823,0.10317647058823531,17,55,0.5743371628934935
1824,0.07517647058823529,17,56,0.575242751954671
1825,0.085843137254902,17,57,0.5764049901510475
1826,0.07407843137254899,17,58,0.5778223288040065
1827,0.0796470588235294,17,59,0.5794928961227669
1828,0.12435294117647056,17,60,0.5814145093200106
1829,0.1674901960784314,17,61,0.5835846884880682
1830,0.1249019607843137,17,62,0.5860006720358031
1831,0.1550980392156862,17,63,0.5886594334705937
1832,0.18317647058823527,17,64,0.5915576992992636
1833,0.20278431372549022,17,65,0.59469196781642
1834,0.1674901960784314,17,66,0.598058528548255
1907,0.09423529411764708,18,35,0.598058528548255
1908,0.0678823529411765,18,36,0.5939412517993132
1909,0.12670588235294122,18,37,0.5900473367513631
1910,0.182156862745098,18,38,0.5863812331790882
1911,0.128,18,39,0.5829472391569327
1912,0.18517647058823528,18,40,0.5797494792197421
1913,0.1448627450980392,18,41,0.5767918824578278
1914,0.14521568627450976,18,42,0.5740781607775521
1915,0.09568627450980394,18,43,0.5716117875735593
1916,0.10462745098039217,18,44,0.5693959770696952
1917,0.08109803921568626,18,45,0.5674336645917971
1918,0.122235294117647,18,46,0.5657274880362537
1919,0.1104705882352941,18,47,0.5642797707931353
1920,0.09623529411764709,18,48,0.563092506371473
1921,0.14603921568627443,18,49,0.5621673449568834
1922,0.15388235294117647,18,50,0.5615055821083579
1923,0.1350980392156862,18,51,0.5611081497720654
1924,0.1448627450980392,18,52,0.5609756097560976
1925,0.12670588235294122,18,53,0.5611081497720654
1926,0.13737254901960783,18,54,0.5615055821083579
1927,0.07635294117647062,18,55,0.5621673449568834
1928,0.06623529411764706,18,56,0.563092506371473
1929,0.07662745098039214,18,57,0.5642797707931353
1930,0.08254901960784311,18,58,0.5657274880362537
1931,0.08811764705882352,18,59,0.5674336645917971
1932,0.11713725490196081,18,60,0.5693959770696952
1933,0.14878431372549017,18,61,0.5716117875735593
1934,0.13337254901960782,18,62,0.5740781607775521
1935,0.15964705882352948,18,63,0.5767918824578278
1936,0.15847058823529414,18,64,0.5797494792197421
1937,0.2133725490196079,18,65,0.5829472391569327
1938,0.1557254901960784,18,66,0.5863812331790882
1939,0.17533333333333334,18,67,0.5900473367513631
1940,0.13811764705882346,18,68,0.5939412517993132
1941,0.1403921568627451,18,69,0.598058528548255
2009,0.117764705882353,19,33,0.5956914508204787
2010,0.1566274509803922,19,34,0.5910546739537871
2011,0.0914117647058823,19,35,0.5866348034539363
2012,0.11768627450980396,19,36,0.5824367773785147
2013,0.13192156862745097,19,37,0.5784654256405571
2014,0.13584313725490194,19,38,0.5747254472169844
2015,0.1674901960784314,19,39,0.571221386762457
2016,0.1690196078431372,19,40,0.5679576108387814
2017,0.18552941176470594,19,41,0.5649382839951449
2018,0.09086274509803927,19,42,0.5621673449568834
2019,0.0827450980392157,19,43,0.5596484831992081
2020,0.10498039215686272,19,44,0.5573851161964117
2021,0.09678431372549023,19,45,0.5553803676456439
2022,0.10509803921568628,19,46,0.5536370469666423
2023,0.12725490196078426,19,47,0.5521576303742327
2024,0.12078431372549026,19,48,0.5509442438086106
2025,0.12917647058823523,19,49,0.5499986479892527
2026,0.13701960784313727,19,50,0.5493222258319614
2027,0.1372941176470588,19,51,0.5489159724354585
2028,0.14631372549019606,19,52,0.5487804878048781
2029,0.1264313725490196,19,53,0.5489159724354585
2030,0.1295294117647059,19,54,0.5493222258319614
2031,0.0643137254901961,19,55,0.5499986479892527
2032,0.049176470588235266,19,56,0.5509442438086106
2033,0.07270588235294118,19,57,0.5521576303742327
2034,0.08447058823529408,19,58,0.5536370469666423
2035,0.06878431372549021,19,59,0.5553803676456439
2036,0.10152941176470587,19,60,0.5573851161964117
2037,0.12341176470588233,19,61,0.5596484831992081
2038,0.1432941176470588,19,62,0.5621673449568834
2039,0.16447058823529415,19,63,0.5649382839951449
2040,0.13811764705882346,19,64,0.5679576108387814
2041,0.1812549019607843,19,65,0.571221386762457
2042,0.16694117647058815,19,66,0.5747254472169844
2043,0.1865490196078432,19,67,0.5784654256405571
2044,0.11913725490196081,19,68,0.5824367773785147
2045,0.16784313725490196,19,69,0.5866348034539363
2046,0.11886274509803918,19,70,0.5910546739537871
2047,0.1350980392156862,19,71,0.5956914508204787
2110,0.15964705882352948,20,30,0.5999206768901875
2111,0.11101960784313725,20,31,0.5945669143048247
